PinName,NetName,Delay_Max (ns),Delay_Min (ns)
JA2.A2,HPA16_N,0.338239,0.276741
JA2.A4,HPA20_CC_P,0.46662,0.38178
JA2.A5,HPA20_CC_N,0.466598,0.381762
JA2.A7,HPA24_P,0.43659,0.35721
JA2.A8,HPA24_N,0.43626,0.35694
JA2.B2,HPA18_P,0.384109,0.314271
JA2.B3,HPA18_N,0.383845,0.314055
JA2.B5,HPA22_P,0.436502,0.357138
JA2.B6,HPA22_N,0.436425,0.357075
JA2.B8,HPA27,0.431838,0.353322
JA2.B9,HPA28,0.483538,0.395622
JA2.C1,HPA15_CC_P,0.338602,0.277038
JA2.C10,HDA21,0.727903,0.595557
JA2.C2,HPA15_CC_N,0.338701,0.277119
JA2.C4,HPA19_P,0.357247,0.292293
JA2.C5,HPA19_N,0.356279,0.291501
JA2.C7,HPA23_P,0.432762,0.354078
JA2.C8,HPA23_N,0.432773,0.354087
JA2.D2,HPA17_P,0.355223,0.290637
JA2.D3,HPA17_N,0.354926,0.290394
JA2.D5,HPA21_P,0.440792,0.360648
JA2.D6,HPA21_N,0.440792,0.360648
JA2.D8,HPA25,0.309397,0.253143
JA2.D9,HPA26,0.39248,0.32112
